sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_vmag,sy_kmag,sy_gaiamag
1.0,1.0,6.586573789145388,1.5260563034950494,2.0214968054746114,7.0909098220799835,0.196,188.6,5173.8,1.1,0.46,-0.11338,4.476000000000001,267.540708,-34.6731944,16.911520000000014,13.945600000000002,9.679514000000001
1.0,1.0,6.260461892816951,1.358409157630355,2.2857943325964074,4.802173355199229,0.22400000000000003,832.8399999999999,5158.4,1.1400000000000001,0.57,0.0516,4.436,271.863875,-29.2815806,14.07874000000001,11.481400000000002,10.366859999999999
1.0,1.0,5.85729523517483,2.4159137783010487,2.2857943325964074,7.901377353792616,0.22399999999999998,832.8399999999999,5308.4,1.1400000000000001,0.49,0.0516,4.436,270.442963,-29.108778,14.07874000000001,11.481399999999999,10.366859999999999
1.0,1.0,5.103552397081773,1.5260563034950494,2.2857943325964074,4.532599493153256,0.22399999999999998,870.24,5166.0,1.1400000000000001,0.54,0.0516,4.436,269.764618,-28.4210281,15.40794000000001,12.808200000000003,10.863846
1.0,2.0,7.326345164450911,0.8153648132841945,2.2857943325964074,0.8151169159683117,0.22400000000000003,867.8399999999999,5166.0,1.1400000000000001,0.26,0.0516,4.498,271.915,-28.4852222,17.13790000000002,14.218,10.366859999999999
1.0,1.0,5.2319728446932725,1.2412685890696329,2.4224333881709645,6.509689637175385,0.3022,667.24,5166.0,1.33,0.29,0.068,4.354,264.5600417,-27.1504111,16.911520000000017,13.945600000000002,9.579884000000002
1.0,2.0,5.429973009590574,1.6094379124341003,2.4224333881709645,3.8522730010223722,0.188,667.24,5263.2,1.1400000000000001,1.06,-0.04778,4.508000000000001,263.577917,-27.14275,17.13790000000002,13.945600000000002,11.087644000000001
1.0,1.0,5.45584310766128,1.1085626195212777,2.2857943325964074,4.223909766576744,0.22399999999999998,1022.04,5263.2,1.1400000000000001,0.52,0.0516,4.498,271.742208,-26.8196917,17.13790000000002,14.218,10.863846
1.0,1.0,6.39330593168374,0.9669838461896731,2.2857943325964074,1.763017000362401,0.22399999999999998,812.8399999999999,5166.0,1.1400000000000001,0.18,0.0516,4.5120000000000005,268.8655417,-28.3060611,17.13790000000002,14.218,10.863846
1.0,1.0,5.103552397081774,0.9555114450274363,2.2857943325964074,5.017279836814924,0.22399999999999998,870.24,5166.0,1.1400000000000001,0.29,0.0516,4.435999999999999,268.9682917,-29.8185278,15.407940000000014,13.945600000000002,10.366859999999999
1.0,1.0,4.016125714745444,1.5040773967762742,2.2857943325964074,6.55250788703459,0.22400000000000003,667.24,5308.4,1.1400000000000001,0.49,-0.008400000000000001,4.436,268.250333,-30.04075,16.911520000000014,12.5358,10.366859999999999
1.0,1.0,5.2319728446932725,1.2892326482767593,2.4224333881709645,7.1316985104669115,0.22399999999999998,667.24,5166.0,1.1400000000000001,0.5,0.0416,4.377999999999999,265.715667,-27.4355611,16.911520000000017,13.945600000000002,9.579884000000002
1.0,1.0,4.747857738065788,1.8229350866965048,2.2857943325964074,6.321211055929393,0.22400000000000003,870.24,5308.4,1.1400000000000001,0.55,0.0516,4.436,269.2465417,-27.9754444,15.634320000000013,12.535800000000002,10.863846
1.0,2.0,4.016125714745444,1.7578579175523736,2.4224333881709645,5.602118820879701,0.22399999999999998,667.24,5263.2,1.1400000000000001,1.06,-0.09178,4.5120000000000005,263.577917,-27.14275,17.13790000000002,13.945600000000002,11.087644000000001
1.0,1.0,5.273417512962482,1.5129270120532565,2.582166675966058,6.560435099614709,0.20420000000000002,913.04,5210.4,1.1,0.65,-0.12378,4.496,266.3546667,-35.7003306,14.203360000000007,11.549,10.180222
1.0,1.0,5.981388995417994,1.2325602611778486,2.2857943325964074,4.969971481509024,0.32816,1022.04,5292.4,1.152,0.36,0.0516,4.497999999999999,272.4213333,-25.7465806,14.07874000000001,11.481400000000002,9.652848
