sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing
1.0,1.0,7,3.4344387154419573,0.15700374880966475,1.985874866350202,0.054,822.6,127,5181.0,2.884,0.72,-0.15099999999999997,4.114,18.495343,16.4942738,3.4936033483190903,9.82,6.909,9.39022,1,0,0,0,1,1,0,1,1,0,0,0
1.0,1.0,8,2.599359888559572,0.09676366843230803,2.2696485927477807,0.0697,650.0,190,5282.0,0.82,0.9,0.098,4.57,351.1353785,-5.1641451,5.4563334233138825,12.697,10.668,12.4462,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3.0,8,2.442486156126246,0.09785240016750463,2.0162354657760435,0.08642940000000002,612.712,190,4840.0,4.23,1.32,0.2,3.31,293.7583002,41.871807,6.817824006881181,12.598,10.227,12.4298,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,7,6.037632227952989,0.832909122935104,1.5338557823063312,0.11,1067.0,110,4406.0,21.0,1.7,-0.094,1.94,239.3965057,26.8776171,4.26082322495156,4.12577,1.5122200000000001,3.80122,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,3,6.609433931338262,0.4824261492442927,2.701887223850495,0.22399999999999998,1236.312,190,5328.4,1.284,0.09,0.0416,4.377999999999999,272.015825,-27.150075,6.90875477931522,17.02,13.449511999999993,10.108464000000001,1,1,0,1,1,1,0,1,1,0,0,0
2.0,2.0,1,7.558647146644969,1.33500106673234,2.6120359238555317,0.05,827.0,190,5372.4800000000005,1.294,0.7,0.22218400000000002,4.272,53.8694682,-25.7393857,6.063417728160639,16.7753,14.776,15.989448,1,0,0,0,1,1,0,1,1,1,0,0
1.0,2.0,7,7.024649030453636,0.6601851669954578,1.549736322285515,0.209,819.4,190,4590.6,7.058,1.3,0.01804,3.908,176.6941567,3.4742143,5.384985768061635,7.88,5.402,7.58172,1,0,1,0,1,1,0,1,1,0,0,0
1.0,1.0,7,9.85332303799997,3.0562157089335016,2.421452692159889,0.144,744.6,190,5497.6,3.804,1.03,0.05800000000000001,3.864,28.2750265,-1.3284416,3.688076631938436,7.43,5.885,7.25765,1,0,0,0,1,1,0,1,1,0,0,0
1.0,1.0,7,6.487029314105918,0.4950394407673837,2.0091282251909837,0.5439,1077.6,190,4855.0,1.798,0.74,-0.072,4.191999999999999,7.1413494,-16.2273254,3.568413760847161,9.62,6.914,9.20112,1,0,1,0,1,1,0,1,1,0,0,0
2.0,1.0,8,2.0528566492316886,0.11952212521867503,2.6198016955481447,0.035,1005.8,190,6395.0,2.05,1.51,0.12,3.99,287.708814,47.33305,5.42215335444201,12.003,10.988,12.5031,0,0,1,0,0,0,0,0,0,1,0,0
2.0,2.0,7,7.57353126274595,1.425515074273172,2.3194580152848525,0.041,1024.2,190,5303.0,2.01,0.91,0.1,3.79,29.2884252,-10.2434693,3.5420283176773517,6.41525,4.491,6.209,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,5,0.5771982588079475,0.015578029963318415,2.2427308736905234,0.0017,1248.8,190,5555.2,1.1480000000000001,1.4,0.1264,4.444000000000001,350.6443481,-26.8495331,5.442417710521793,11.9342,10.231799999999998,11.810016,1,0,0,0,1,1,0,1,1,0,0,0
1.0,1.0,8,2.889488034194042,0.12221763272424921,1.2892326482767593,0.04,795.0,57,5725.0,1.09,1.0,0.07,4.33,205.3758786,-9.9460704,4.74747671424381,9.885,8.407,9.75597,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,7,7.892293655931007,1.713797927758343,2.3282663892550857,0.118,1152.6,190,5304.2,1.2559999999999998,1.75,-0.092,4.348000000000001,174.2008941,-37.0391349,4.814815038430936,7.94,5.493,7.64993,1,0,0,0,1,1,0,1,1,0,0,0
1.0,2.0,8,2.423821182215137,0.08709470685093376,1.247032293786383,0.29,702.0,190,5216.0,0.84,0.93,0.248,4.56,296.2446203,74.0628577,4.203947565788045,9.92,7.923,9.68443,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,7,7.084879611908244,1.3029127521808397,1.2763969863336349,0.314,769.2,190,4674.8,0.85,1.79,-0.36395999999999995,4.494,86.8212337,-51.066148,3.0322666895319608,3.8593936,3.526,3.82015,1,0,0,0,1,1,0,1,1,0,0,0
1.0,3.0,8,2.1392580723726873,0.06363186024477342,1.324418957401803,0.0,651.0,190,4227.0,0.67,0.68,-0.1,4.57,157.1440712,65.8541986,4.312109675635232,11.922,8.95,11.5743,0,0,0,0,0,0,0,0,0,0,0,0
3.0,6.0,8,3.0689649377374386,0.12768936114088944,1.348592493935879,0.16812,602.0,98,5266.0,0.79,0.8,-0.2,4.54,189.8392243,20.0273377,3.50129909402079,8.419,6.492,8.17208,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,8,1.0124092757732601,0.023130417388854383,2.6385572045735763,0.057,2470.0,127,4591.0,0.66,0.73,-0.13999999999999999,4.462000000000001,297.7909214,16.9125679,6.339549452076887,16.186,13.332,15.9359,0,0,0,0,0,0,0,1,1,0,0,0
1.0,1.0,8,1.3607131081806154,0.041237908016244745,2.9701580224345605,0.0,1646.0,190,5772.0,1.47,1.18,0.278,4.17,139.1125648,69.0741284,6.046769160387635,11.856,10.617,12.0338,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3.0,7,7.621741505453247,1.4315067039414386,2.5195209695669014,0.1,1125.8,190,5471.8,1.096,1.03,0.0696,4.271999999999999,322.0510568,-21.7274194,3.887617601589392,7.99,6.459,7.83246,1,0,0,0,1,1,0,1,1,0,0,0
1.0,1.0,7,4.856551278713541,0.412109650826833,2.3800533812366518,0.05,1248.2,190,4790.0,10.3,1.45,-0.41,2.58,176.5980316,14.1240201,5.852481176567099,8.69,6.259,8.40499,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,7,6.969099698152878,1.250188228122899,2.5983309015918437,0.63,1217.4,190,5037.4,1.736,1.81,0.052000000000000005,4.075999999999999,296.4221207,-0.6968794,4.637395333282829,7.34,5.09,7.07025,1,0,0,0,1,1,0,1,1,0,0,0
1.0,4.0,8,3.250607023029654,0.2305447295518329,1.2412685890696329,0.13898000000000002,463.2,190,4884.2,0.89,0.97,-0.27,4.53,284.6772402,44.7976401,7.199387041130196,15.444,13.65,15.1779,0,0,1,1,1,0,0,1,0,0,0,0
1.0,3.0,7,6.405147727499492,0.7082328179779862,1.9787925360653245,0.373,1091.4,190,5055.6,1.002,0.8920000000000001,-0.015400000000000002,4.49,62.3228353,-53.3711768,2.7805878933925334,11.79,7.135,10.6771,1,0,0,0,1,1,1,1,1,0,0,0
1.0,1.0,7,6.361647841071506,0.832909122935104,2.181237100818188,0.21,1182.2,125,4296.0,17.3,0.8,-0.46,1.99,25.9203179,21.0052692,7.188042577362072,9.367,6.169,8.91613,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,7,4.4725526613732525,0.9146658357045123,1.2313549232430816,0.063,773.0,142,4090.0,8.649899999999999,0.58,0.16,4.61,244.1725686,67.2392041,2.465069521896682,8.61,4.953,7.90052,1,0,1,0,0,1,0,0,0,0,0,0
1.0,1.0,7,5.604551284394344,0.6205764877251099,1.9013830707363766,0.34,928.4,62,5873.0,1.356,1.15,0.22,4.24,212.8207093,54.4089731,4.1141096071127246,7.88,6.389,7.71674,1,0,0,0,0,1,0,0,0,0,0,0
